FIELD NO.,FIELD NAME,POSITION,PICTURE,LENGTH,FIELD DESCRIPTION / VALUES,START_POSITION,END_POSITION,RECORD,DOCUMENT
"13, 12, 12",NET-GDCA-AMOUNT,"147 - 160, 98 - 111, 104 - 117","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Gross Drug Cost Above the Catastrophic Coverage Threshold, Net Gross Drug Cost Above the Catastrophic Coverage Threshold, Net Gross Drug Cost Above the Catastrophic Coverage Threshold","147, 98, 104","160, 111, 117","det, ptr, ctr","40COV, 40ENH, 40OTC"
"14, 13, 13",NET-TOTAL-GROSS-DRUG-COST,"161 - 174, 112 - 125, 118 - 131","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax","161, 112, 118","174, 125, 131","det, ptr, ctr","40COV, 40ENH, 40OTC"
"15, 14, 14",NET-PATIENT-PAY-AMOUNT,"175 - 188, 126 - 139, 132 - 145","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Self-explanatory, Self-explanatory, Self-explanatory","175, 126, 132","188, 139, 145","det, ptr, ctr","40COV, 40ENH, 40OTC"
"16, 15, 15",NET-OTHER-TROOP-AMOUNT,"189 - 202, 140 - 153, 146 - 159","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Other True Out-of-Pocket Amount, Net Other True Out-of-Pocket Amount, Net Other True Out-of-Pocket Amount","189, 140, 146","202, 153, 159","det, ptr, ctr","40COV, 40ENH, 40OTC"
"17, 16, 16",NET-LICS-AMOUNT,"203 - 216, 154 - 167, 160 - 173","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Low Income Cost Sharing Amount, Net Low Income Cost Sharing Amount, Net Low Income Cost Sharing Amount","203, 154, 160","216, 167, 173","det, ptr, ctr","40COV, 40ENH, 40OTC"
"18, 17, 17",NET-TrOOP-AMOUNT,"217 - 230, 168 - 181, 174 - 187","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Sum of Net Patient Pay Amount, Net Other Troop Amount and Net LICS Amount, Sum of Net Patient Pay Amount, Net Other Troop Amount and Net LICS Amount, Sum of Net Patient Pay Amount, Net Other Troop Amount and Net LICS Amount","217, 168, 174","230, 181, 187","det, ptr, ctr","40COV, 40ENH, 40OTC"
"19, 18, 18",NET-PLRO-AMOUNT,"231 - 244, 182 - 195, 188 - 201","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Patient Liability Reduction Due to Other (non-TrOOP) Payers, Net Patient Liability Reduction Due to Other (non-TrOOP) Payers, Net Patient Liability Reduction Due to Other (non-TrOOP) Payers","231, 182, 188","244, 195, 201","det, ptr, ctr","40COV, 40ENH, 40OTC"
"20, 19, 19",NET-CPP-AMOUNT,"245 - 258, 196 - 209, 202 - 215","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Covered Plan Paid Amount, Net Covered Plan Paid Amount, Net Covered Plan Paid Amount","245, 196, 202","258, 209, 215","det, ptr, ctr","40COV, 40ENH, 40OTC"
"21, 20, 20",NET-NPP-AMOUNT,"259 - 272, 210 - 223, 216 - 229","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Non-covered Plan Paid Amount, Net Non-covered Plan Paid Amount, Net Non-covered Plan Paid Amount","259, 210, 216","272, 223, 229","det, ptr, ctr","40COV, 40ENH, 40OTC"
"22, 21, 21",NUMBER-OF-ORIGINAL-PDES,"273 - 284, 224 - 235, 230 - 241","9(12), 9(12), 9(12)","12, 12, 12","Self-explanatory, The count of original PDEs., The count of original PDEs.","273, 224, 230","284, 235, 241","det, ptr, ctr","40COV, 40ENH, 40OTC"
"23, 22, 22",NUMBER-OF-ADJUSTED-PDES,"285 - 296, 236 - 247, 242 - 253","9(12), 9(12), 9(12)","12, 12, 12","Self-explanatory, The count of adjusted PDEs., The count of adjusted PDEs.","285, 236, 242","296, 247, 253","det, ptr, ctr","40COV, 40ENH, 40OTC"
"24, 23, 23",NUMBER-OF-DELETION-PDES,"297 - 308, 248 - 259, 254 - 265","9(12), 9(12), 9(12)","12, 12, 12","Self-explanatory, The count of deleted PDEs., The count of deleted PDEs.","297, 248, 254","308, 259, 265","det, ptr, ctr","40COV, 40ENH, 40OTC"
"25, 24",NET-NUMBER-OF-CATASTROPHIC-COVERAGE-PDES,"309 - 320, 260 - 271","9(12), 9(12)","12, 12","Count of PDEs with Catastrophic Coverage Code equal “C”, Count of PDEs with Catastrophic Coverage Code equal to “C”.","309, 260","320, 271","det, ptr","40COV, 40ENH, 40OTC"
"26, 25",NET-NUMBER-OF-ATTACHMENT-PDES,"321 - 332, 272 - 283","9(12), 9(12)","12, 12","Count of PDEs with Catastrophic Coverage Code equal “A”, Count of PDEs with Catastrophic Coverage Code equal to “A”","321, 272","332, 283","det, ptr","40COV, 40ENH, 40OTC"
"27, 26",NET-NUMBER-OF-NON-CATASTROPHIC-PDES,"333 - 344, 284 - 295","9(12), 9(12)","12, 12","Count of PDEs with Catastrophic Coverage Code equal “blank”, Count of PDEs with Catastrophic Coverage Code equal to “blank”.","333, 284","344, 295","det, ptr","40COV, 40ENH, 40OTC"
"28, 27",NET-NUMBER-OF-NON-STANDARD-FORMAT-PDES,"345 - 356, 296 - 307","9(12), 9(12)","12, 12","Count of PDEs with Non-standard Format Code other then blank, Count of PDEs with Non-standard Format Code other then blank","345, 296","356, 307","det, ptr","40COV, 40ENH, 40OTC"
"29, 28",NET-NUMBER-OF-OON-PDES,"357 - 368, 308 - 319","9(12), 9(12)","12, 12","Count of PDEs with pricing-exception-code code equal “O”, Count of PDEs with Pricing Exception Code equal “O”","357, 308","368, 319","det, ptr","40COV, 40ENH, 40OTC"
30,P2P-CONTRACT,369 - 373,X(5),5,The contract number of the Plan of Record associated with the P2P reconciliation condition.  (Appears on Covered Drug version of the report only.),369,373,det,"40COV, 40ENH, 40OTC"
31,P2P-AMOUNT,374 - 387,S9(12)V99,14,"The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-from"" all Contracts of Record to this Submitting PBP for this beneficiary.  This field is the sum of the LICS Amount and CPP Amount. Value is zero in Reports 40ENH and 40OTC.",374,387,det,"40COV, 40ENH, 40OTC"
"6, 5",BENEFICIARY-COUNT,"20 - 30, 17 - 27","9(11), 9(11)","11, 11","Total count of DET records., Total count of DET records.","20, 17","30, 27","ptr, ctr","40COV, 40ENH, 40OTC"
"30, 30",DET-RECORD-TOTAL,"332 - 339, 338 - 345","9(8), 9(8)","8, 8","Total count of DET records, Total count of DET records","332, 338","339, 345","ptr, ctr","40COV, 40ENH, 40OTC"
"31, 31",P2P-AMOUNT-DUE-FROM-ALL-PLANS-OF-RECORD,"340 - 353, 346 - 359","S9(12)V99, S9(12)V99","14, 14","The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-from"" all Contractsof Record to this PBP.  This field is the sum of the LICS Amount and CPP Amount.  Value is zero in Reports 40ENH and 40OTC., The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-from"" all Contracts of Record to this Submitting Contract.  This field is the sum of the LICS Amount and CPP Amount.  Value is zero in Reports 40ENH and 40OTC","340, 346","353, 359","ptr, ctr","40COV, 40ENH, 40OTC"
24,NET-NUMBER-CATASTROPHIC-PDES,266 - 277,9(12),12,Count of PDEs with Catastrophic Coverage Code equal “C”,266,277,ctr,"40COV, 40ENH, 40OTC"
25,NET-NUMBER-ATTACHMENT-PDES,278 - 289,9(12),12,Count of PDEs with Catastrophic Coverage Code equal “A”,278,289,ctr,"40COV, 40ENH, 40OTC"
26,NET-NUMBER-NON-CATASTROPHIC-PDES,290 - 301,9(12),12,Count of PDEs with Catastrophic Coverage Code not equal “A” or “C”,290,301,ctr,"40COV, 40ENH, 40OTC"
27,NET-NUMBER-NON-STANDARD-FORMAT-PDES,302 - 313,9(12),12,Count of PDEs with Non-standard Format Code other than blank,302,313,ctr,"40COV, 40ENH, 40OTC"
28,NET-NUMBER-OON-PDES,314 - 325,9(12),12,Count of PDEs with Pricing Exception Code equal “O” (out-of-network).,314,325,ctr,"40COV, 40ENH, 40OTC"
"1, 1, 1, 1, 1",RECORD-ID,"1 - 3, 1 - 3, 1 - 3, 1 - 3, 1 - 3","X(3), X(3), X(3), X(3), X(3)","3, 3, 3, 3, 3","""CHD"", ""RHD"", DET, ""RTR"", ""CTR""","1, 1, 1, 1, 1","3, 3, 3, 3, 3","chd, rhd, det, rtr, ctr",41COV
"2, 2, 2, 2, 2",SEQUENCE-NO,"4 - 10, 4 - 10, 4 - 10, 4 - 10, 4 - 10","9(7), 9(7), 9(7), 9(7), 9(7)","7, 7, 7, 7, 7","Starts with 0000001, Starts with 0000001, Must start with 0000001, Starts with 0000001, Must start with 0000001","4, 4, 4, 4, 4","10, 10, 10, 10, 10","chd, rhd, det, rtr, ctr",41COV
"3, 3, 3, 3",CONTRACT-NO,"11 - 15, 11 - 15, 11 - 15, 11 - 15","X(5), X(5), X(5), X(5)","5, 5, 5, 5","Submitting Contract number, Contract number of the Plan of Record, Same as RHD, Must match CHD","11, 11, 11, 11","15, 15, 15, 15","chd, rhd, rtr, ctr",41COV
"4, 5",FILE-ID,"16 - 31, 19 - 34","X(16), X(16)","16, 16","41COVCCYY###  (Where  41 = Due from Contracts of Record - Current Month Report COV indicates the drug coverage status being reported on (covered drugs only)   CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.), 41COVCCYY###","16, 19","31, 34","chd, rhd",41COV
"5, 6",PROD-TEST-IND,"32 - 35, 35 - 38","X(4), X(4)","4, 4","TEST or PROD,  (Where ","32, 35","35, 38","chd, rhd",41COV
"6, 7",AS-OF-YEAR,"36 - 39, 39 - 42","X(4), X(4)","4, 4","Identifies ""data reported through"" year.  Format is CCYY., 41 = Due from Contracts of Record -","36, 39","39, 42","chd, rhd",41COV
"7, 8",AS-OF-MONTH,"40 - 41, 43 - 44","X(2), X(2)","2, 2","Identifies ""data reported through"" month.  Valid values are 01 through 12., Current Month Report","40, 43","41, 44","chd, rhd",41COV
"8, 9",DDPS-SYSTEM-DATE,"42 - 49, 45 - 52","X(8), X(8)","8, 8","‘CCYYMMDD’ = DDPS File creation date., COV indicates the drug coverage status","42, 45","49, 52","chd, rhd",41COV
"9, 10",DDPS-SYSTEM-TIME,"50 - 55, 53 - 58","X(6), X(6)","6, 6","‘HHMMSS’ = DDPS File creation time., being reported on (covered drugs only)","50, 53","55, 58","chd, rhd",41COV
"10, 11",DDPS-REPORT-ID,"56 - 60, 59 - 63","X(5), X(5)","5, 5","DDPS Report identifier ('41COV'), CCYY indicates the benefit year","56, 59","60, 63","chd, rhd",41COV
"11, 4, 12, 13, 4, 14, 6, 14",FILLER,"61 - 512, 16 - 18, 64 - 512, 156 - 512, 16 - 18, 123 - 512, 28 - 36, 129 - 512","X(452), X(3), X(449), X(357), X(3), X(390), X(9), X(384)","452, 3, 449, 357, 3, 390, 9, 384","SPACES, SPACES, ### indicates sequential versions of this, SPACES, SPACES, The amount related to the Plan-to-Plan, SPACES, SPACES","61, 16, 64, 156, 16, 123, 28, 129","512, 18, 512, 512, 18, 512, 36, 512","chd, rhd, rhd, det, rtr, rtr, ctr, ctr",41COV
"3, 5, 4",DRUG-COVERAGE-STATUS-CODE,"11 - 11, 19 - 19, 16 - 16","X(1), X(1), X(1)","1, 1, 1","Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report., Note: Only PDEs with a value of 'C', Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report.","11, 19, 16","11, 19, 16","det, rtr, ctr",41COV
4,CURRENT-CMS-HICN,12 - 31,X(20),20,"Medicare HIC or RRB number.  If the beneficiary has more than one HICN on file, this is current HICN.",12,31,det,41COV
5,LAST-SUBMITTED-HICN,32 - 51,X(20),20,HICN from the most recent accepted PDE in the DDPS database for that plan/beneficiary.,32,51,det,41COV
6,LAST-SUBMITTED-CARDHOLDER-ID,52 - 71,X(20),20,"Plan identification of the enrollee, as reported on the most recent PDE for the benefit year",52,71,det,41COV
"7, 7, 7",CURRENT-MONTH-GDCB-AMOUNT,"72 - 85, 31 - 44, 37 - 50","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Gross Drug Cost Below the Catastrophic Coverage Threshold, report., Monthly change in Gross Drug Cost Below the Catastrophic Coverage Threshold","72, 31, 37","85, 44, 50","det, rtr, ctr",41COV
"8, 8, 8",CURRENT-MONTH-GDCA-AMOUNT,"86 - 99, 45 - 58, 51 - 64","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Gross Drug Cost Above the Catastrophic Coverage Threshold, Total count of DET records., Monthly change in Gross Drug Cost Above the Catastrophic Coverage Threshold","86, 45, 51","99, 58, 64","det, rtr, ctr",41COV
"9, 9, 9",CURRENT-MONTH-TOTAL-GROSS-DRUG-COST,"100 - 113, 59 - 72, 65 - 78","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Monthly change in Gross Drug Cost Below, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax","100, 59, 65","113, 72, 78","det, rtr, ctr",41COV
"10, 10, 10",CURRENT-MONTH-LICS-AMOUNT,"114 - 127, 73 - 86, 79 - 92","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Low Income Cost Sharing Amount, the Catastrophic Coverage Threshold, Monthly change in Low Income Cost Sharing Amount","114, 73, 79","127, 86, 92","det, rtr, ctr",41COV
"11, 11, 11",CURRENT-MONTH-CPP-AMOUNT,"128 - 141, 87 - 100, 93 - 106","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Covered Plan Paid Amount, Monthly change in Covered Plan Paid, Monthly change in Covered Plan Paid Amount","128, 87, 93","141, 100, 106","det, rtr, ctr",41COV
12,CURRENT-MONTH-P2P-AMOUNT,142 - 155,S9(12)V99,14,"The amount related to the P2P reconciliation condition.  This amount represents the amount ""due-from"" this Contract of Record to this Submitting Contract for this beneficiary.   This field is the sum of the LICS Amount and CPP Amount.",142,155,det,41COV
"6, 5",BENEFICIARY-COUNT,"20 - 30, 17 - 27","9(11), 9(11)","11, 11","(Covered Drug) will be included on this, Total count of DET records.","20, 17","30, 27","rtr, ctr",41COV
"12, 12",DET-RECORD-TOTAL,"101 - 108, 107 - 114","9(8), 9(8)","8, 8","Amount, Total count of DET records","101, 107","108, 114","rtr, ctr",41COV
"13, 13",CURRENT-MONTH-P2P-AMOUNT-DUE-FROM-ALL-PLANS-OF-RECORD,"109 - 122, 115 - 128","S9(12)V99, S9(12)V99","14, 14","Total count of DET records, The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-from"" all Contracts of Record to this Submitting Contract.   This field is the sum of the LICS Amount and CPP Amount.","109, 115","122, 128","rtr, ctr",41COV
"1, 1, 1, 1, 1",RECORD-ID,"1 - 3, 1 - 3, 1 - 3, 1 - 3, 1 - 3","X(3), X(3), X(3), X(3), X(3)","3, 3, 3, 3, 3","""CHD"", ""PHD"", DET, ""PTR"", ""CTR""","1, 1, 1, 1, 1","3, 3, 3, 3, 3","chd, phd, det, ptr, ctr",42COV
"2, 2, 2, 2, 2",SEQUENCE-NO,"4 - 10, 4 - 10, 4 - 10, 4 - 10, 4 - 10","9(7), 9(7), 9(7), 9(7), 9(7)","7, 7, 7, 7, 7","Starts with 0000001, Starts with 0000001, Must start with 0000001, Starts with 0000001, Must start with 0000001","4, 4, 4, 4, 4","10, 10, 10, 10, 10","chd, phd, det, ptr, ctr",42COV
"3, 3, 3, 3",CONTRACT-NO,"11 - 15, 11 - 15, 11 - 15, 11 - 15","X(5), X(5), X(5), X(5)","5, 5, 5, 5","Contract number of the Plan of Record, Contract Number of the Plan of Record, Same as PHD, Must match CHD","11, 11, 11, 11","15, 15, 15, 15","chd, phd, ptr, ctr",42COV
"4, 5",FILE-ID,"16 - 31, 19 - 34","X(16), X(16)","16, 16","42COVCCYY###, 42COVCCYY###  Where  42 = Due To Submitting Contracts - YTD report COV indicates the drug coverage status being reported on (covered drugs only)CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.)","16, 19","31, 34","chd, phd",42COV
5,PROD-TEST-CERT IND,32 - 35,X(4),4, (Where ,32,35,chd,42COV
"6, 7",AS-OF-YEAR,"36 - 39, 39 - 42","X(4), X(4)","4, 4","42 = Due To Submitting Contracts - YTD, Identifies ""data reported through"" year.  Format is CCYY.","36, 39","39, 42","chd, phd",42COV
"7, 8",AS-OF-MONTH,"40 - 41, 43 - 44","X(2), X(2)","2, 2","report, Identifies ""data reported through"" month.  Valid values are 01 through 12","40, 43","41, 44","chd, phd",42COV
"8, 9",DDPS-SYSTEM-DATE,"42 - 49, 45 - 52","X(8), X(8)","8, 8","COV indicates the drug coverage status being, ‘CCYYMMDD’ = DDPS File creation date","42, 45","49, 52","chd, phd",42COV
"9, 10",DDPS-SYSTEM-TIME,"50 - 55, 53 - 58","X(6), X(6)","6, 6","reported on (covered drugs only), ‘HHMMSS’ = DDPS File creation time","50, 53","55, 58","chd, phd",42COV
"10, 11",DDPS-REPORT-ID,"56 - 60, 59 - 63","X(5), X(5)","5, 5","CCYY indicates the benefit year, DDPS Report identifier ('42COV')","56, 59","60, 63","chd, phd",42COV
"11, 12, 13, 14, 6, 14",FILLER,"61 - 512, 64 - 512, 141 - 512, 123 - 512, 28 - 36, 129 – 512","X(452), X(449), X(372), X(390), X(9), X(384)","1, 449, 372, 390, 9, 384","### indicates sequential versions of this file. , SPACES, SPACES, SPACES, SPACES, SPACES","61, 64, 141, 123, 28, 129","512, 512, 512, 512, 36, 512","chd, phd, det, ptr, ctr, ctr",42COV
"4, 4",PBP-ID,"16 - 18, 16 - 18","X(3), X(3)","3, 3","Plan of Record's PBP ID, Same as PHD","16, 16","18, 18","phd, ptr",42COV
6,PROD-TEST IND,35 - 38,X(4),4,TEST or PROD,35,38,phd,42COV
"3, 5, 4",DRUG-COVERAGE-STATUS-CODE,"11 - 11, 19 - 19, 16 - 16","X(1), X(1), X(1)","1, 1, 1","Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report, Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report, Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report","11, 19, 16","11, 19, 16","det, ptr, ctr",42COV
4,CURRENT-CMS-HICN,12 - 31,X(20),20,"Medicare HIC or RRB number.  If the beneficiary has more than one HICN on file, this is current HICN",12,31,det,42COV
5,LAST-SUBMITTED-HICN,32 - 51,X(20),20,HICN from the most recent accepted PDE in the DDPS database for that plan/beneficiary,32,51,det,42COV
"6, 7, 7",NET-GDCB-AMOUNT,"52 - 65, 31 - 44, 37 - 50","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Gross Drug Cost Below the Catastrophic Coverage Threshold, Net Gross Drug Cost Below the Catastrophic Coverage Threshold, Net Gross Drug Cost Below the Catastrophic Coverage Threshold","52, 31, 37","65, 44, 50","det, ptr, ctr",42COV
"7, 8, 8",NET-GDCA-AMOUNT,"66 - 79, 45 - 58, 51 - 64","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Gross Drug Cost Above the Catastrophic Coverage Threshold, Net Gross Drug Cost Above the Catastrophic Coverage Threshold, Net Gross Drug Cost Above the Catastrophic Coverage Threshold","66, 45, 51","79, 58, 64","det, ptr, ctr",42COV
"8, 9, 9",NET-TOTAL-GROSS-DRUG-COST,"80 - 93, 59 - 72, 65 - 78","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax","80, 59, 65","93, 72, 78","det, ptr, ctr",42COV
"9, 10, 10",NET-LICS-AMOUNT,"94 - 107, 73 - 86, 79 – 92","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Low Income Cost Sharing Amount, Net Low Income Cost Sharing Amount, Net Low Income Cost Sharing Amount","94, 73, 79","107, 86, 92","det, ptr, ctr",42COV
"10, 11, 11",NET-CPP-AMOUNT,"108 - 121, 87 - 100, 93 – 106","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Covered Plan Paid Amount, Net Covered Plan Paid Amount, Net Covered Plan Paid Amount","108, 87, 93","121, 100, 106","det, ptr, ctr",42COV
